C2O              1 2.324000E+02 3.828000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C2H2             2 2.090000E+02 4.100000E+00 0.000000E+00 0.000000E+00 2.500000E+00
C2H              1 2.653000E+02 3.721000E+00 0.000000E+00 0.000000E+00 2.500000E+00
H2CC             2 2.090000E+02 4.100000E+00 0.000000E+00 0.000000E+00 2.500000E+00
C2               1 9.753000E+01 3.621000E+00 0.000000E+00 1.760000E+00 4.000000E+00
O2C2H4OH         2 5.232000E+02 5.664000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C2H4O2H          2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
C2H4O1-2         2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
C2H3O1-2         2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
C2H5OH           2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
C2H5O            2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
PC2H4OH          2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
SC2H4OH          2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
O2CH2CHO         2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
HO2CH2CO         2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
CH2CO2           1 4.402000E+02 4.010000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3CHO           2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH3CO            2 2.247000E+02 4.162000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH2CHO           2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH2COHCO         2 4.352000E+02 4.662000E+00 2.700000E+00 0.000000E+00 1.000000E+00
C2H3OH           2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
C2H2OH           2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
SC2H2OH          2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH2CO            2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
HCCO             2 1.500000E+02 2.500000E+00 0.000000E+00 0.000000E+00 1.000000E+00
HCCOH            2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH2COOH          2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3CCO           2 7.495960E+02 5.140000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3COH           2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3CO3H          2 2.750490E+02 5.428000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3CO3           2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
CH3CO2           2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3OCH2O2H       2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
CH3OCH2O2        2 5.232000E+02 5.664000E+00 1.700000E+00 0.000000E+00 1.000000E+00
CH2OCH2O2H       2 5.232000E+02 5.664000E+00 1.700000E+00 0.000000E+00 1.000000E+00
O2CH2OCH2O2H     2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
HO2CH2OCHO       2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
OCH2OCHO         2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
HOCH2OCO         2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
CH3OCH2OH        2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH3OCH2O         2 3.950000E+02 4.037000E+00 1.300000E+00 0.000000E+00 1.000000E+00
CH3OCH3          2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH3OCH2          2 4.706000E+02 4.410000E+00 0.000000E+00 0.000000E+00 1.500000E+00
CH3OCHO          2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3OCO           2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH2OCHO          2 4.360000E+02 3.970000E+00 0.000000E+00 0.000000E+00 2.000000E+00
CH3COCH          2 3.345980E+02 5.640000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2COCH2         2 3.345980E+02 5.640000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3CCHO          2 3.345980E+02 5.640000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2CCO           2 4.195570E+02 4.557000E+00 0.000000E+00 0.000000E+00 1.000000E+00
NC3H7O2H         2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
NC3H7O2          2 4.352000E+02 4.662000E+00 2.700000E+00 0.000000E+00 1.000000E+00
IC3H7O2H         2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
IC3H7O2          2 4.352000E+02 4.662000E+00 2.700000E+00 0.000000E+00 1.000000E+00
C3H6OOH1-2       2 4.815000E+02 4.997000E+00 1.700000E+00 0.000000E+00 1.000000E+00
